City,County,State,Address,State Code,County Code,Site Num,address,latitude,longitude,formatted_address
Welby,Adams,Colorado,3174 E. 78TH AVE.,8,1,3001,"3174 E. 78TH AVE., Welby, Colorado",39.8382499,-104.9501244,"3174 E 78th Ave, Denver, CO 80229, USA"
Washington,District of Columbia,District Of Columbia,"420 34th Street N.E.,Washington, DC 20019",11,1,41,"420 34th Street N.E.,Washington, DC 20019, Washington, District Of Columbia",38.895393,-76.95854,"420 34th St NE, Washington, DC 20019, USA"
Winter Park,Orange,Florida,MORRIS BLVD.,12,95,2002,"MORRIS BLVD., Winter Park, Florida",28.5949767,-81.3508787,"Winter Park, FL, USA"
Chicago,Cook,Illinois,321 S. FRANKLIN,17,31,63,"321 S. FRANKLIN, Chicago, Illinois",41.8776232,-87.6348721,"321 S Franklin St, Chicago, IL 60606, USA"
Cicero,Cook,Illinois,1820 S. 51ST AVE.,17,31,4002,"1820 S. 51ST AVE., Cicero, Illinois",41.8557272,-87.75220379999999,"Parkholme, 1820 S 51st Ave, Cicero, IL 60804, USA"
Calumet City (PU RR name Calumet Park (sta.)),Cook,Illinois,1703 STATE ST.,17,31,8003,"1703 STATE ST., Calumet City (PU RR name Calumet Park (sta.)), Illinois",41.6298326,-87.56678289999999,"1703 State St, Calumet City, IL 60409, USA"
Indianapolis (Remainder),Marion,Indiana,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST., Indianapolis (Remainder), Indiana",39.7887331,-86.06096959999999,"6125 E 16th St, Indianapolis, IN 46219, USA"
Not in a city,Linn,Kansas,COUNTY RD 1103 .7 MI SOUTH OF K-52,20,107,2,"COUNTY RD 1103 .7 MI SOUTH OF K-52, Not in a city, Kansas",38.1901119,-94.7042301,"KS-52, Kansas, USA"
Not in a city,Sumner,Kansas,"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",20,191,2,"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG, Not in a city, Kansas",37.4761795,-97.3279542,"707 East 119th St S, Peck, KS 67120, USA"
Kansas City,Wyandotte,Kansas,"1210 N. 10TH ST.,JFK RECREATION CENTER",20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER, Kansas City, Kansas",39.1181407,-94.6355366,"1210 N 10th St, Kansas City, KS 66102, USA"
Ashland,Boyd,Kentucky,32ND & RAILROAD STS.,21,19,15,"32ND & RAILROAD STS., Ashland, Kentucky",38.4662244,-82.6214734,"32nd St & Railroad Ave, Ashland, KY 41101, USA"
Not in a city,Daviess,Kentucky,716 PLEASANT VALLEY ROAD,21,59,5,"716 PLEASANT VALLEY ROAD, Not in a city, Kentucky",37.7813343,-87.07389150000002,"716 Pleasant Valley Rd, Owensboro, KY 42303, USA"
Lexington-Fayette (corporate name for Lexington),Fayette,Kentucky,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE, Lexington-Fayette (corporate name for Lexington), Kentucky",38.0647612,-84.49850239999999,"650 Newtown Pike, Lexington, KY 40508, USA"
Henderson,Henderson,Kentucky,NORTH GREEN STREET,21,101,13,"NORTH GREEN STREET, Henderson, Kentucky",37.8483058,-87.5827464,"N Green St, Henderson, KY 42420, USA"
Louisville,Jefferson,Kentucky,"7201 WATSON LN, WATSON LN ELEMENTARY SCH",21,111,51,"7201 WATSON LN, WATSON LN ELEMENTARY SCH, Louisville, Kentucky",38.0610963,-85.89709979999999,"7201 Watson Ln, Louisville, KY 40272, USA"
Paducah,McCracken,Kentucky,"JACKSON PURCHASE RECC, 2901 POWELL STREET",21,145,1024,"JACKSON PURCHASE RECC, 2901 POWELL STREET, Paducah, Kentucky",37.0576779,-88.5731655,"2901 Powell St, Paducah, KY 42003, USA"
Baton Rouge,East Baton Rouge,Louisiana,1061-A Leesville Ave,22,33,9,"1061-A Leesville Ave, Baton Rouge, Louisiana",30.4620159,-91.17922809999999,"1061 Leesville Ave a, Baton Rouge, LA 70802, USA"
Detroit,Wayne,Michigan,2451 MARQUETTE,26,163,16,"2451 MARQUETTE, Detroit, Michigan",42.3579372,-83.0952458,"2451 Marquette St, Detroit, MI 48208, USA"
Sunset Hills,Saint Louis,Missouri,"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126",29,189,4,"Sunset Hills: 4580 South Lindbergh & Gravios, Sunset Hills, MO 63126, Sunset Hills, Missouri",38.5319165,-90.38270059999999,"4580 S Lindbergh Blvd, St. Louis, MO 63127, USA"
Not in a city,Saint Louis,Missouri,305 WEIDMAN ROAD (QUEENY),29,189,6,"305 WEIDMAN ROAD (QUEENY), Not in a city, Missouri",38.58970170000001,-90.4930763,"305 S Weidman Rd, Ballwin, MO 63021, USA"
Ladue,Saint Louis,Missouri,"LADUE: 73 Hunter Avenue, Ladue, MO 63105",29,189,3001,"LADUE: 73 Hunter Avenue, Ladue, MO 63105, Ladue, Missouri",38.6511791,-90.35039139999999,"73 Hunter Ave, St. Louis, MO 63124, USA"
Ferguson,Saint Louis,Missouri,3400 PERSHALL ROAD,29,189,5001,"3400 PERSHALL ROAD, Ferguson, Missouri",38.7673952,-90.28313399999999,"3400 Pershall Rd, Ferguson, MO 63135, USA"
St. Ann,Saint Louis,Missouri,10267 ST CHARLES ROCK ROAD,29,189,7002,"10267 ST CHARLES ROCK ROAD, St. Ann, Missouri",38.7278896,-90.3793352,"10267 St Charles Rock Rd, St Ann, MO 63074, USA"
St. Louis,St. Louis City,Missouri,"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115",29,510,86,"MARGARETTA: 4520 Margaretta, St. Louis, MO 63115, St. Louis, Missouri",38.6734439,-90.238777,"4520 Margaretta Ave, St. Louis, MO 63115, USA"
Camden,Camden,New Jersey,COPEWOOD E. DAVIS STS; TRAILER,34,7,3,"COPEWOOD E. DAVIS STS; TRAILER, Camden, New Jersey",39.9248911,-75.0948674,"Copewood St, Camden, NJ, USA"
New York,Bronx,New York,200TH STREET AND SOUTHERN BLVD Harding Lab,36,5,83,"200TH STREET AND SOUTHERN BLVD Harding Lab, New York, New York",40.8661356,-73.88272049999999,"Bedford Park Blvd & Southern Blvd, Bronx, NY 10458, USA"
New York,Queens,New York,56TH AVE AT SPRINGFIELD BLVD,36,81,97,"56TH AVE AT SPRINGFIELD BLVD, New York, New York",40.7523661,-73.7593614,"Springfield Blvd & 56th Ave, Queens, NY 11364, USA"
Holtsville,Suffolk,New York,57 DIVISION STREET,36,103,9,"57 DIVISION STREET, Holtsville, New York",40.8273233,-73.056654,"57 Division St, Holtsville, NY 11742, USA"
Winston-Salem,Forsyth,North Carolina,1300 BLK. HATTIE AVENUE,37,67,22,"1300 BLK. HATTIE AVENUE, Winston-Salem, North Carolina",36.1108529,-80.2241013,"1300 Hattie Ave, Winston-Salem, NC 27101, USA"
Charlotte,Mecklenburg,North Carolina,1130 EASTWAY DRIVE,37,119,41,"1130 EASTWAY DRIVE, Charlotte, North Carolina",35.240886,-80.7789706,"1130 Eastway Dr, Charlotte, NC 28205, USA"
Park Hill,Cherokee,Oklahoma,"P.O. BOX 948   TAHLEQUAH, OK  74464",40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464, Park Hill, Oklahoma",35.91537,-94.969956,"Tahlequah, OK 74464, USA"
Ponca City,Kay,Oklahoma,"RT 1, BOX 1980  PONCA CITY, OK  74601",40,71,9003,"RT 1, BOX 1980  PONCA CITY, OK  74601, Ponca City, Oklahoma",36.6893562,-97.1035613,"1st St, Ponca City, OK 74601, USA"
Pittsburgh,Allegheny,Pennsylvania,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,42,3,10,"CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD, Pittsburgh, Pennsylvania",40.4456828,-80.01818519999999,"1 Allegheny Ave, Pittsburgh, PA 15212, USA"
Beaver Falls,Beaver,Pennsylvania,EIGHT STREET AND RIVER ALLEY,42,7,14,"EIGHT STREET AND RIVER ALLEY, Beaver Falls, Pennsylvania",40.7520097,-80.31922949999999,"Beaver Falls, PA 15010, USA"
Reading,Berks,Pennsylvania,UGI CO MONGANTOWN RD AND PROSPECT ST,42,11,9,"UGI CO MONGANTOWN RD AND PROSPECT ST, Reading, Pennsylvania",40.3199083,-75.92618829999999,"Morgantown Rd & Prospect Ave, Reading, PA 19611, USA"
Altoona,Blair,Pennsylvania,2ND AVE & 7TH ST,42,13,801,"2ND AVE & 7TH ST, Altoona, Pennsylvania",40.5149842,-78.3885792,"7th St & 2nd Ave, Altoona, PA 16602, USA"
Bristol,Bucks,Pennsylvania,ROCKVIEW LANE,42,17,12,"ROCKVIEW LANE, Bristol, Pennsylvania",40.1100403,-74.881486,"Rockview Dr, Bristol Township, PA 19007, USA"
Johnstown,Cambria,Pennsylvania,MILLER AUTO SHOP 1 MESSENGER ST,42,21,11,"MILLER AUTO SHOP 1 MESSENGER ST, Johnstown, Pennsylvania",40.3088916,-78.9154274,"1 Messenger St, Johnstown, PA 15902, USA"
Scranton,Lackawanna,Pennsylvania,GEORGE ST TROOP AND CITY OF SCRANTON,42,69,2006,"GEORGE ST TROOP AND CITY OF SCRANTON, Scranton, Pennsylvania",41.410314,-75.661099,"Scranton, PA, USA"
Lancaster,Lancaster,Pennsylvania,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,42,71,7,"ABRAHAM LINCOLN JR HIGH GROFFTOWN RD, Lancaster, Pennsylvania",40.0449787,-76.2836779,"Grofftown Rd, Lancaster, PA 17602, USA"
New Castle,Lawrence,Pennsylvania,CROTON ST & JEFFERSON ST.,42,73,15,"CROTON ST & JEFFERSON ST., New Castle, Pennsylvania",41.006653,-80.3292558,"N Croton Ave, New Castle, PA 16101, USA"
Norristown,Montgomery,Pennsylvania,STATE ARMORY - 1046 BELVOIR RD,42,91,13,"STATE ARMORY - 1046 BELVOIR RD, Norristown, Pennsylvania",40.1123495,-75.3097788,"1046 Belvoir Rd, Plymouth Meeting, PA 19462, USA"
Freemansburg,Northampton,Pennsylvania,WASHINGTON & CAMBRIA STS. FREEMANSBURG,42,95,25,"WASHINGTON & CAMBRIA STS. FREEMANSBURG, Freemansburg, Pennsylvania",40.6264875,-75.34573499999999,"Freemansburg, PA, USA"
Philadelphia,Philadelphia,Pennsylvania,1501 E. LYCOMING AVE.,42,101,4,"1501 E. LYCOMING AVE., Philadelphia, Pennsylvania",40.0089686,-75.0979869,"1501 E Lycoming St, Philadelphia, PA 19124, USA"
Charleroi,Washington,Pennsylvania,CHARLER01 WASTE TREATMENT PLANT,42,125,5,"CHARLER01 WASTE TREATMENT PLANT, Charleroi, Pennsylvania",40.1378499,-79.89810349999999,"Charleroi, PA 15022, USA"
Greensburg,Westmoreland,Pennsylvania,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,42,129,8,"DONOHOE ROAD - PENN DOT MAINT DIST BLDG, Greensburg, Pennsylvania",40.3158282,-79.4599069,"Donohoe Rd, Pennsylvania, USA"
York,York,Pennsylvania,HILL ST.,42,133,8,"HILL ST., York, Pennsylvania",39.9665811,-76.6998881,"Hill St, York, PA 17403, USA"
Dallas,Dallas,Texas,1415 Hinton Street,48,113,69,"1415 Hinton Street, Dallas, Texas",32.8192829,-96.8603768,"1415 Hinton St, Dallas, TX 75235, USA"
El Paso,El Paso,Texas,250 Rim Rd,48,141,37,"250 Rim Rd, El Paso, Texas",31.7708765,-106.4967075,"250 Rim Rd, El Paso, TX 79902, USA"
El Paso,El Paso,Texas,5050A Yvette Drive,48,141,58,"5050A Yvette Drive, El Paso, Texas",31.7324231,-106.2784209,"Missy Yvette Dr, El Paso, TX 79936, USA"
Houston,Harris,Texas,9525 1/2 Clinton Dr,48,201,1035,"9525 1/2 Clinton Dr, Houston, Texas",29.7339973,-95.258134,"9525 Clinton Dr, Houston, TX 77029, USA"
Not in a city,Fairfax,Virginia,CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT,51,59,5,"CUB RUN LEE RD CHANT.(CUBRUN TREAT PLANT, Not in a city, Virginia",37.4315734,-78.6568942,"Virginia, USA"
Seven Corners,Fairfax,Virginia,          6100 ARLINGTON BLVD MONTG WARD,51,59,1004,"          6100 ARLINGTON BLVD MONTG WARD, Seven Corners, Virginia",38.868555,-77.1422248,"6100 Arlington Blvd, Falls Church, VA 22044, USA"
McLean,Fairfax,Virginia,LEWINSVILLE 1437 BALLS HILL RD,51,59,5001,"LEWINSVILLE 1437 BALLS HILL RD, McLean, Virginia",38.9326984,-77.1984865,"1437 Balls Hill Rd, McLean, VA 22101, USA"
Alexandria,Alexandria City,Virginia,"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",51,510,9,"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH, Alexandria, Virginia",38.8099866,-77.0445462,"517 N St Asaph St, Alexandria, VA 22314, USA"
Oakland,Alameda,California,6701 INTERNATIONAL BLVD,6,1,10,"6701 INTERNATIONAL BLVD, Oakland, California",37.7609778,-122.1919136,"6701 International Blvd, Oakland, CA 94621, USA"
Crockett,Contra Costa,California,1098 POMONA STREET,6,13,10,"1098 POMONA STREET, Crockett, California",38.0532134,-122.2221445,"1098 Pomona St, Crockett, CA 94525, USA"
Los Angeles,Los Angeles,California,651 S. MOTT STREET (SB 25 TRAILER),6,37,30,"651 S. MOTT STREET (SB 25 TRAILER), Los Angeles, California",34.0346445,-118.2110628,"651 S Mott St, Los Angeles, CA 90023, USA"
West Los Angeles,Los Angeles,California,"1115 N. MAHAR AVENUE WILMINGTON, CA",6,37,31,"1115 N. MAHAR AVENUE WILMINGTON, CA, West Los Angeles, California",33.7857763,-118.2467436,"1115 Mahar Ave, Wilmington, CA 90744, USA"
East Saint Louis,Saint Clair,Illinois,13TH & TUDOR,17,163,10,"13TH & TUDOR, East Saint Louis, Illinois",38.604578,-90.1524515,"Tudor Ave, East St Louis, IL, USA"
Ashland,Boyd,Kentucky,"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",21,19,17,"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET, Ashland, Kentucky",38.459673,-82.6406935,"2924 Holt St, Ashland, KY 41101, USA"
Boston,Suffolk,Massachusetts,HARRISON AVE,25,25,42,"HARRISON AVE, Boston, Massachusetts",42.3388241,-71.0703135,"Harrison Ave, Boston, MA, USA"
Breckenridge Hills,Saint Louis,Missouri,"9630 ST CHAS ROCK RD, BREKENRIDGE 63314",29,189,7003,"9630 ST CHAS ROCK RD, BREKENRIDGE 63314, Breckenridge Hills, Missouri",38.7193767,-90.36687739999999,"9630 St Charles Rock Rd, Breckenridge Hills, MO 63114, USA"
Boulder City,Clark,Nevada,1005 INDUSTRIAL ROAD,32,3,601,"1005 INDUSTRIAL ROAD, Boulder City, Nevada",35.977826,-114.8470577,"1005 Industrial Rd, Boulder City, NV 89005, USA"
Newark,Essex,New Jersey,"LEXINGTON & E. FERRY STS., NEWARK",34,13,16,"LEXINGTON & E. FERRY STS., NEWARK, Newark, New Jersey",40.7315293,-74.1744671,"Newark, NJ, USA"
New York,Queens,New York,Queens College   65-30 Kissena Blvd  Parking Lot#6,36,81,124,"Queens College   65-30 Kissena Blvd  Parking Lot#6, New York, New York",40.7372003,-73.8245359,"Queens Hall, 65-21 Main St #6, Flushing, NY 11367, USA"
Miami,Ottawa,Oklahoma,"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI",40,115,9004,"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI, Miami, Oklahoma",36.8745146,-94.8774554,"Miami, OK 74354, USA"
San Pablo,Contra Costa,California,"1865 D RUMRILL BLVD, San Pablo",6,13,1004,"1865 D RUMRILL BLVD, San Pablo, San Pablo, California",37.9603832,-122.3568197,"1865 Rumrill Blvd, San Pablo, CA 94806, USA"
Grand Rapids,Kent,Michigan,1179 MONROE NW,26,81,20,"1179 MONROE NW, Grand Rapids, Michigan",42.9844794,-85.6712665,"1179 Monroe Ave NW, Grand Rapids, MI 49503, USA"
Manchester,Hillsborough,New Hampshire,PEARL ST,33,11,20,"PEARL ST, Manchester, New Hampshire",42.9965634,-71.4541231,"Pearl St, Manchester, NH, USA"
Not in a city,Haywood,Tennessee,1741 HILLVILLE LOOP ROAD,47,75,3,"1741 HILLVILLE LOOP ROAD, Not in a city, Tennessee",35.4677793,-89.1713697,"1741 Hillville Loop, Whiteville, TN 38075, USA"
Not in a city,Meigs,Tennessee,8401 HIGHWAY 60,47,121,104,"8401 HIGHWAY 60, Not in a city, Tennessee",35.2904151,-84.94699609999999,"8401 TN-60, Georgetown, TN 37336, USA"
Fresno,Fresno,California,1005 W. WELDON AVENUE,6,19,243,"1005 W. WELDON AVENUE, Fresno, California",36.7673955,-119.8225869,"1005 W Weldon Ave, Fresno, CA 93705, USA"
Fresno,Fresno,California,MOBILE,6,19,244,"MOBILE, Fresno, California",36.8088067,-119.7818398,"388 E Shaw Ave, Fresno, CA 93710, USA"
Not in a city,Charleston,South Carolina,390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain],45,19,46,"390 BULLS ISLAND ROAD (AWENDAW) [Cape Romain], Not in a city, South Carolina",32.9905691,-79.6461092,"Awendaw, SC 29429, USA"
Los Angeles,Los Angeles,California,7201 W. WESTCHESTER PARKWAY,6,37,5005,"7201 W. WESTCHESTER PARKWAY, Los Angeles, California",33.95312,-118.42017,"7201 Westchester Pkwy, Los Angeles, CA 90045, USA"
San Francisco,San Francisco,California,"100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO",6,75,6,"100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO, San Francisco, California",37.7340456,-122.3840568,"100 Whitney Young Cir, San Francisco, CA 94124, USA"
Phoenix,Maricopa,Arizona,4530 N 17TH AVENUE,4,13,9997,"4530 N 17TH AVENUE, Phoenix, Arizona",33.503616,-112.0958365,"4530 N 17th Ave, Phoenix, AZ 85015, USA"
San Diego,San Diego,California,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112",6,73,1010,"1110 BEARDSLEY STREET, SAN DIEGO, CA 92112, San Diego, California",32.7011313,-117.1483728,"1110 Beardsley St, San Diego, CA 92113, USA"
Denver,Denver,Colorado,2105 BROADWAY,8,31,2,"2105 BROADWAY, Denver, Colorado",39.7511725,-104.9876488,"2105 Broadway, Denver, CO 80205, USA"
Kenner,Jefferson,Louisiana,West Temple Pl,22,51,1001,"West Temple Pl, Kenner, Louisiana",30.0409127,-90.2730582,"W Temple St, Kenner, LA 70065, USA"
Erie,Erie,Pennsylvania,10TH AND MARNE STREETS,42,49,3,"10TH AND MARNE STREETS, Erie, Pennsylvania",42.1425949,-80.0397928,"Marne Rd, Erie, PA 16511, USA"
Eureka,Humboldt,California,717 SOUTH AVENUE,6,23,1004,"717 SOUTH AVENUE, Eureka, California",40.776368,-124.1784029,"717 South Ave, Eureka, CA 95503, USA"
New Haven,New Haven,Connecticut,1JAMES STREET,9,9,27,"1JAMES STREET, New Haven, Connecticut",41.3015183,-72.9019278,"1 James St, New Haven, CT 06513, USA"
Davenport,Scott,Iowa,10TH ST. & VINE ST. DAVENPORT,19,163,15,"10TH ST. & VINE ST. DAVENPORT, Davenport, Iowa",41.5298909,-90.5873464,"W 10th St & Vine St, Davenport, IA 52804, USA"
Presque Isle,Aroostook,Maine,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",23,3,1100,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769, Presque Isle, Maine",46.6969423,-68.033486,"8 Northern Rd, Presque Isle, ME 04769, USA"
Essex,Baltimore,Maryland,600 Dorsey Avenue,24,5,3001,"600 Dorsey Avenue, Essex, Maryland",39.310555,-76.4740166,"600 Dorsey Ave, Essex, MD 21221, USA"
Tulsa,Tulsa,Oklahoma,3520 1/2 N. PEORIA,40,143,1127,"3520 1/2 N. PEORIA, Tulsa, Oklahoma",36.1597792,-95.97528609999999,"1/2 N Peoria Ave, Tulsa, OK 74126, USA"
Not in a city,Dauphin,Pennsylvania,"651 Gibson Blvd., Harrisburg, PA 17104",42,43,401,"651 Gibson Blvd., Harrisburg, PA 17104, Not in a city, Pennsylvania",40.2731911,-76.8867008,"Harrisburg, PA, USA"
