StationId,Latitude,Longitude,Elevation,Name,CountryCode,City,CityDistance
US10boyd002,42.9095,-98.8492,552.9,BUTTE 0.1 S,US,Dallas,65.42191300953559
US10boyd003,42.9141,-98.6603,513.0,SPENCER 3.5 NE,US,Dallas,78.38185772461814
US10boyd005,42.9096,-98.8428,555.0,BUTTE 0.4 ESE,US,Dallas,65.84767128493786
US10brow001,42.5359,-99.7092,791.9,LONG PINE 0.4 W,US,Dallas,79.60591045313048
US10brow005,42.6748,-99.7695,686.1,LONG PINE 15.7 ESE,US,Dallas,65.8867018781681
US10burt001,41.7267,-96.1557,307.8,TEKAMAH 5.0 SE,US,Washington,36.8461859729834
US10burt002,41.6965,-96.3619,388.9,CRAIG 6.2 S,US,Washington,35.63642103734109
US10burt003,41.8593,-96.4701,388.0,OAKLAND 1.6 N,US,Washington,55.78876522863459
US10burt004,41.7859,-96.4065,417.9,CRAIG 2.2 W,US,Washington,46.242851395684575
US10butl004,41.219,-97.349,480.1,RISING CITY 3.1 WNW,US,Washington,97.39875266424842
US10butl005,41.185,-97.2542,484.9,RISING CITY 2.4 ESE,US,Washington,90.595926626842
US10butl008,41.158,-96.9952,490.1,BRAINARD 1.8 SSE,US,Washington,71.01901418943282
US10butl010,41.2963,-97.3493,502.0,RISING CITY 7.2 NNW,US,Washington,95.98441944533408
US10butl011,41.3221,-97.3465,451.1,BELLWOOD 5.8 W,US,Washington,95.43859913122425
US10butl013,41.3565,-97.2356,434.9,BELLWOOD 0.2 ESE,US,Washington,85.91207558740362
US10butl020,41.2557,-97.1301,434.9,DAVID CITY 0.2 N,US,Washington,78.6464889627668
US10cass001,40.9946,-95.8976,337.1,PLATTSMOUTH 1.4 SW,US,Washington,51.76830505728111
US10cass005,40.865,-96.1171,335.9,WEEPING WATER 1.3 ESE,US,Washington,59.703350933982534
US10cass010,40.8048,-96.4467,363.6,EAGLE 1.2 SW,US,Washington,68.89849466522769
US10cass011,41.0289,-95.9874,389.2,PLATTSMOUTH 3.1 WNW,US,Washington,44.938281004808395
US10ceda001,42.628,-97.27,417.0,HARTINGTON 0.5 NW,US,Concord,35.59936892816857
US10ceda002,42.7652,-97.3027,401.1,ST. HELENA 4.1 SW,US,Concord,49.572689485103176
US10ceda003,42.4974,-97.4279,530.0,RANDOLPH 9.0 NNW,US,Concord,38.163000890509466
US10ceda004,42.6983,-97.4464,437.1,CROFTON 3.3 ESE,US,Concord,51.24880909406071
US10ceda005,42.8151,-97.4648,406.9,CROFTON 6.2 NNE,US,Concord,61.770517122548334
US10ceda006,42.4971,-97.2691,485.9,COLERIDGE 3.5 W,US,Concord,26.205759260746017
US10ceda008,42.6702,-97.1716,384.0,HARTINGTON 5.9 ENE,US,Concord,35.176327343123255
US10ceda009,42.5654,-97.1363,474.9,COLERIDGE 5.4 NE,US,Concord,23.521325936256968
US10ceda010,42.7432,-97.1706,366.1,WYNOT 0.2 NNW,US,Concord,42.63078463912226
US10ceda011,42.8013,-97.368,392.9,FORDYCE 7.1 N,US,Concord,55.82718268931011
US10ceda012,42.5044,-97.2076,488.0,COLERIDGE 0.2 WSW,US,Concord,22.389145087651283
US10ceda013,42.6702,-97.1716,384.0,HARTINGTON 5.9 ENE,US,Concord,35.176327343123255
US10ceda014,42.3951,-97.0319,438.0,LAUREL 3.9 ESE,US,Concord,3.7368467550771287
US10ceda015,42.3722,-97.3592,509.9,RANDOLPH 0.4 SSW,US,Concord,30.43646754985733
US10ceda016,42.5973,-97.022,442.9,HARTINGTON 12.8 E,US,Concord,23.882768223528917
US10ceda017,42.6787,-97.4261,465.1,FORDYCE 3.6 WSW,US,Concord,48.55235277947999
US10ceda020,42.7043,-97.3915,465.1,FORDYCE 1.6 W,US,Concord,48.54444625438268
US10ceda021,42.8092,-97.2482,465.1,ST. HELENA 0.0 ESE,US,Concord,51.8324335159337
US10ceda026,42.7285,-97.2466,465.1,HARTINGTON 7.4 N,US,Concord,43.74280550294497
US10clay002,40.3504,-97.897,512.1,EDGAR 4.2 ESE,US,Washington,93.48494544234823
US10colf001,41.7014,-97.0731,460.9,CLARKSON 3.1 ESE,US,Concord,76.20762891493429
US10colf002,41.5837,-97.0027,438.0,ROGERS 9.3 NW,US,Washington,69.39886075726753
US10colf003,41.596,-97.1614,487.1,CLARKSON 9.3 SSW,US,Washington,82.45849784476898
US10colf005,41.4186,-97.2521,430.1,COLUMBUS 6.2 E,US,Washington,87.15680283012648
US10cumi002,41.8049,-96.6907,431.0,WEST POINT 2.7 SSE,US,Washington,60.54804381572706
US10cumi003,41.8664,-96.7995,431.0,WEST POINT 5.0 WNW,US,Concord,59.62782698365601
US10cumi005,41.9103,-96.6379,424.9,WEST POINT 6.0 NE,US,Concord,60.09249726761788
US10cumi006,41.9826,-96.9095,417.0,WISNER 0.4 SE,US,Concord,45.10074703847296
US10cumi007,41.82,-96.71,406.0,WEST POINT 1.5 S,US,Washington,62.86584757984789
US10cumi008,41.9301,-96.8078,417.0,BEEMER 0.2 E,US,Concord,52.62438262610048
US10cumi009,42.0028,-96.5717,434.0,BANCROFT 0.7 S,US,Concord,54.56738123101677
US10cumi010,41.7973,-96.7926,427.0,WEST POINT 5.3 WSW,US,Washington,65.90357847983415
US10cumi011,42.0045,-96.7088,452.0,BANCROFT 7.1 W,US,Concord,48.089513882270786
US10cumi012,42.0149,-96.5756,452.0,BANCROFT 0.2 NW,US,Concord,53.321380877203076
US10dako002,42.3484,-96.6192,381.9,HUBBARD 3.1 SW,US,Concord,30.636915349234762
US10dako003,42.3882,-96.5916,381.9,HUBBARD 0.1 NW,US,Concord,32.642228508099215
US10dixo001,42.4273,-96.9774,463.0,WAYNE 13.7 NNE,US,Concord,4.9189456560874945
US10dixo003,42.3056,-96.7977,465.1,WAKEFIELD 4.3 ENE,US,Concord,17.97174127576256
US10dixo005,42.5618,-96.7053,348.1,PONCA 0.1 SSE,US,Concord,30.540466985373698
